horas_estudio_semanal,nota_anterior,tasa_asistencia,horas_sueno,edad,nivel_dificultad,tiene_tutor,horario_estudio_preferido,estilo_aprendizaje,nota_final,aprobado
8.957475998038344,48.830600953982184,86.64018172631499,6.675694179152657,25,Fácil,Sí,Tarde,Lectura/Escritura,84.4,1
11.042524001961656,80.82570664326124,83.44965544904211,4.616843562140823,18,Difícil,No,Tarde,,72.0,1
4.510776081457513,90.38369427718838,74.62360717097394,7.755246085587813,25,Fácil,No,Mañana,Lectura/Escritura,80.0,1
6.64721279688571,81.87825713706148,82.84984071809973,8.592826202315608,23,Fácil,No,,Visual,78.2,1
1.0,66.25417890677699,54.53993487859529,6.671840397082623,21,Medio,No,,Auditivo,66.0,1
6.407690018732439,73.08911810349704,79.78760325343505,8.50931577496801,29,Difícil,No,Mañana,Visual,68.0,1
13.415889034525689,91.0679966076932,71.79979177431109,4.589867396546137,25,Fácil,Sí,Mañana,Visual,75.5,1
16.237527399210038,96.97993865525089,51.41196498065036,,20,Fácil,Sí,Noche,Visual,86.3,1
4.32357895407524,62.10374698643311,60.824962869609415,6.463756401920014,21,Medio,No,Mañana,Visual,84.8,1
7.928665682328723,71.82992642454397,100.0,7.516230488420608,23,Medio,Sí,Noche,Visual,68.8,1
12.588951372611838,61.580093589430106,64.70153366482619,,28,Medio,Sí,,Visual,67.9,1
8.608491562171023,56.45049066566707,64.00767417860592,7.87747581402838,24,Difícil,Sí,Noche,Visual,54.9,0
13.105494640170491,87.69102626451223,57.894263967058066,,21,Difícil,No,Tarde,Lectura/Escritura,82.4,1
2.2286519665770967,49.89699301098871,76.93505059100768,,21,Medio,No,Tarde,Visual,59.4,0
7.846363503522712,47.177124139111804,69.22500197685939,4.753005101791993,24,Medio,No,Tarde,Kinestésico,63.4,1
3.9231397635011227,55.337701600869025,58.816636512808834,6.582547468651307,23,Medio,No,Tarde,Visual,73.2,1
6.040580954312839,77.85305520013475,97.70568418369905,6.144758640434626,28,Fácil,No,Tarde,Lectura/Escritura,86.9,1
12.153636496477286,83.26888963571251,80.77499802314061,5.781018881275454,25,Difícil,Sí,Mañana,Lectura/Escritura,77.8,1
10.458559597426383,72.09565448322793,57.382237608261406,5.842825486705543,18,Medio,No,Noche,Kinestésico,73.0,1
14.688988840151552,86.26292736338812,93.67819882522109,6.986826859258609,27,Fácil,No,Tarde,Kinestésico,84.5,1
13.92518024938446,93.56929746365365,81.56446836030806,8.213752261539337,28,Medio,Sí,Tarde,Visual,90.7,1
9.792936993096783,65.23525609733359,68.11692682105856,4.157111057820685,24,Fácil,No,,Lectura/Escritura,63.9,1
20.848470320877052,68.01830464657932,100.0,7.564424115676936,29,Medio,Sí,Tarde,Lectura/Escritura,83.9,1
14.115858054692943,55.51869539631874,58.18187298707373,7.190578650131688,24,Medio,Sí,Noche,Lectura/Escritura,66.0,1
2.2703634094169676,75.7656214866156,86.0507374069795,7.504266811351287,28,Medio,No,Tarde,Kinestésico,56.4,0
1.0066871149163674,40.34585161412001,45.494612771062805,7.742456437699655,24,Difícil,No,Noche,,54.0,0
17.022665535897733,80.87459808416972,75.0250913807025,7.7212591310002185,24,Fácil,Sí,Mañana,Lectura/Escritura,91.6,1
3.0108173551444795,40.07543543758307,57.00932278815627,7.556352626933646,27,Medio,No,Noche,Visual,66.9,1
13.70693801920567,66.79545821753256,44.40883627715726,5.587450267391961,27,Medio,Sí,,Auditivo,75.2,1
9.679866387310677,53.87190237717341,52.198461494092,8.85497836227986,25,Medio,Sí,Mañana,Visual,67.4,1
11.54871265769265,65.70797596367623,60.7603778951055,6.503691142410371,26,Medio,Sí,Mañana,Lectura/Escritura,73.7,1
12.546010219321005,94.23918186771768,80.20178850345093,4.48872133613403,26,Medio,Sí,Tarde,Visual,70.5,1
12.603307472862577,93.06536874808077,100.0,5.922307005619732,19,Medio,Sí,Noche,Visual,74.7,1
3.7350618729990384,68.88869088307922,97.51552401460032,5.245899003223461,24,Fácil,No,Tarde,Auditivo,72.0,1
13.85724837764819,76.50222949167683,87.30049006410138,8.496879488460701,24,Difícil,Sí,Tarde,Kinestésico,77.7,1
8.660581162079753,69.60476512912287,90.90643287909356,6.179949411406033,21,Medio,No,Mañana,Auditivo,64.9,1
9.187238020236876,55.45859938940737,55.2877916626546,,26,Medio,No,,Visual,66.4,1
3.3902707957164964,68.132149508754,59.162323817251355,,25,Fácil,No,Tarde,Visual,66.5,1
10.257300100483146,88.63090858695253,75.17564187655188,5.941705027243913,29,Fácil,Sí,Noche,Kinestésico,97.5,1
5.44563565482325,62.276150248619636,74.07128550458945,8.04866213167484,18,Medio,No,Tarde,Lectura/Escritura,76.2,1
6.391431118912917,54.13772478425731,90.09328538946207,5.759953405242553,19,Difícil,No,Noche,Kinestésico,73.0,1
20.720053338888775,83.83495327625285,98.58803501934963,6.337351236834754,19,Medio,Sí,Tarde,Auditivo,71.5,1
7.595802896665938,58.928667288932076,82.68749531548747,4.980421533332697,29,Difícil,Sí,,Lectura/Escritura,64.8,1
6.193236627678475,65.15602011210086,62.578021439318036,7.8288053055234625,29,Medio,No,Tarde,,64.9,1
1.0,56.222534380523385,58.038506929037375,8.731922035243986,28,Medio,No,Tarde,Auditivo,59.3,0
7.832590169441057,65.27482414986059,43.57427004846179,,25,Fácil,No,Noche,Auditivo,50.7,0
15.30942067438536,88.96099554303726,82.04302793957865,,18,Difícil,Sí,,Auditivo,61.1,1
